@RELATION compras

@ATTRIBUTE id NUMERIC
@ATTRIBUTE sexo STRING
@ATTRIBUTE estado_civil STRING
@ATTRIBUTE cidade STRING
@ATTRIBUTE bairro STRING
@ATTRIBUTE estado STRING
@ATTRIBUTE produto STRING
@ATTRIBUTE preco NUMERIC
@ATTRIBUTE estabelecimento STRING
@ATTRIBUTE data_compra DATE "yyyy-MM-dd"

@DATA
2001,"F","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Fantastic Cotton Shoes",35.7,"ELETRODOMESTICOS","2017-10-14"
2002,"M","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Aerodynamic Granite Knife",16.49,"ELETRODOMESTICOS","2017-11-11"
2003,"M","VIUVO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Rustic Rubber Shirt",8.31,"ELETRODOMESTICOS","2017-10-31"
2004,"M","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Intelligent Concrete Coat",11.22,"GAMES","2017-11-05"
2005,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Intelligent Wooden Chair",58.09,"BRINQUEDOS","2017-10-05"
2006,"M","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Fantastic Plastic Lamp",71.77,"CELULARES E TELEFONIA","2017-10-28"
2007,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Enormous Silk Bottle",37.87,"BELEZA E PERFUMARIA","2017-10-31"
2008,"M","DIVORCIADO","VITORIA","CENTRO","ESPIRITO SANTO","Ergonomic Rubber Car",40.61,"DECORACAO","2017-10-25"
2009,"F","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Intelligent Cotton Plate",79.59,"BRINQUEDOS","2017-11-05"
2010,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Mediocre Wooden Bottle",75.8,"DECORACAO","2017-10-30"
2011,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Gorgeous Cotton Bottle",12.56,"CELULARES E TELEFONIA","2017-10-30"
2012,"M","DIVORCIADO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Lightweight Iron Keyboard",43.41,"INFORMATICA","2017-11-14"
2013,"F","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Sleek Steel Chair",82.65,"INFORMATICA","2017-09-29"
2014,"F","VIUVO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Fantastic Linen Plate",50.98,"ELETRODOMESTICOS","2017-11-10"
2015,"F","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Gorgeous Cotton Bench",36.34,"INFORMATICA","2017-11-05"
2016,"F","DIVORCIADO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Rustic Concrete Computer",79.2,"ELETRODOMESTICOS","2017-10-10"
2017,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Synergistic Cotton Bag",45.44,"BRINQUEDOS","2017-09-22"
2018,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Synergistic Granite Shirt",38.77,"CELULARES E TELEFONIA","2017-10-12"
2019,"F","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Awesome Rubber Knife",41.1,"BRINQUEDOS","2017-10-29"
2020,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Rustic Wooden Clock",12.07,"LIVROS","2017-10-05"
2021,"F","VIUVO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Rustic Cotton Bag",34.22,"LIVROS","2017-11-08"
2022,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Heavy Duty Rubber Gloves",59.95,"LIVROS","2017-11-05"
