@RELATION compras

@ATTRIBUTE id NUMERIC
@ATTRIBUTE sexo {F,M}
@ATTRIBUTE estado_civil {DIVORCIADO, SOLTEIRO, VIUVO, CASADO}
@ATTRIBUTE cidade {VITORIA}
@ATTRIBUTE bairro {CENTRO, 'SANTO ANTONIO', JUCUTUQUARA, MARUIPE, 'PRAIA DO CANTO', 'SAO PEDRO', GOIABEIRAS, 'JARDIM CAMBURI', 'JARDIM DA PENHA'}
@ATTRIBUTE estado {'ESPIRITO SANTO'}
@ATTRIBUTE produto STRING
@ATTRIBUTE preco NUMERIC
@ATTRIBUTE estabelecimento {INFORMATICA, BRINQUEDOS, 'CELULARES E TELEFONIA', ELETRODOMESTICOS, 'BELEZA E PERFUMARIA', GAMES, LIVROS, DECORACAO}
@ATTRIBUTE data_compra DATE "yyyy-MM-dd"
@ATTRIBUTE data_compra_dia NUMERIC
@ATTRIBUTE data_compra_mes NUMERIC
@ATTRIBUTE data_compra_semana {Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday}

@DATA
1,"F","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Awesome Plastic Chair",89.77,"BELEZA E PERFUMARIA","2016-04-07T21:00:00-03:00",7,4,"Thursday"
2,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Aerodynamic Marble Gloves",39.11,"INFORMATICA","2016-09-16T21:00:00-03:00",16,9,"Friday"
3,"F","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Fantastic Silk Hat",71.74,"BRINQUEDOS","2016-05-14T21:00:00-03:00",14,5,"Saturday"
4,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Silk Table",83.46,"INFORMATICA","2016-04-13T21:00:00-03:00",13,4,"Wednesday"
5,"F","CASADO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Fantastic Marble Gloves",35.11,"GAMES","2016-02-06T22:00:00-02:00",6,2,"Saturday"
6,"F","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Silk Clock",34.32,"GAMES","2016-02-18T22:00:00-02:00",18,2,"Thursday"
7,"F","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Durable Paper Pants",72.33,"ELETRODOMESTICOS","2016-07-23T21:00:00-03:00",23,7,"Saturday"
8,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Heavy Duty Linen Table",61.95,"BELEZA E PERFUMARIA","2016-05-14T21:00:00-03:00",14,5,"Saturday"
9,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Practical Granite Bag",63.88,"GAMES","2016-05-11T21:00:00-03:00",11,5,"Wednesday"
10,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Incredible Wooden Bag",94.36,"ELETRODOMESTICOS","2016-09-18T21:00:00-03:00",18,9,"Sunday"
11,"F","VIUVO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Fantastic Paper Pants",80.8,"GAMES","2016-07-29T21:00:00-03:00",29,7,"Friday"
12,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Awesome Silk Shirt",46.62,"INFORMATICA","2016-10-28T22:00:00-02:00",28,10,"Friday"
13,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Enormous Cotton Shirt",48.39,"INFORMATICA","2016-02-06T22:00:00-02:00",6,2,"Saturday"
14,"M","VIUVO","VITORIA","MARUIPE","ESPIRITO SANTO","Rustic Steel Bag",34.3,"CELULARES E TELEFONIA","2016-11-09T22:00:00-02:00",9,11,"Wednesday"
15,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Intelligent Paper Bag",58.3,"INFORMATICA","2016-03-29T21:00:00-03:00",29,3,"Tuesday"
16,"F","CASADO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Small Granite Watch",57.76,"BRINQUEDOS","2016-10-23T22:00:00-02:00",23,10,"Sunday"
17,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Awesome Plastic Shoes",48.03,"INFORMATICA","2016-08-13T21:00:00-03:00",13,8,"Saturday"
18,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Awesome Granite Keyboard",4.68,"CELULARES E TELEFONIA","2016-05-29T21:00:00-03:00",29,5,"Sunday"
19,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Lightweight Granite Watch",62.75,"DECORACAO","2016-07-06T21:00:00-03:00",6,7,"Wednesday"
20,"M","DIVORCIADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Mediocre Bronze Hat",71.59,"BRINQUEDOS","2016-08-21T21:00:00-03:00",21,8,"Sunday"
21,"F","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Incredible Plastic Watch",87.33,"BELEZA E PERFUMARIA","2016-09-10T21:00:00-03:00",10,9,"Saturday"
22,"F","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Heavy Duty Silk Hat",19.17,"CELULARES E TELEFONIA","2016-07-15T21:00:00-03:00",15,7,"Friday"
23,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Lightweight Linen Coat",48.84,"DECORACAO","2016-02-25T21:00:00-03:00",25,2,"Thursday"
24,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Rustic Aluminum Plate",38.72,"BRINQUEDOS","2016-11-12T22:00:00-02:00",12,11,"Saturday"
