@RELATION compras

@ATTRIBUTE sexo {F,M}
@ATTRIBUTE estado_civil {DIVORCIADO, SOLTEIRO, VIUVO, CASADO}
@ATTRIBUTE bairro {CENTRO, 'SANTO ANTONIO', JUCUTUQUARA, MARUIPE, 'PRAIA DO CANTO', 'SAO PEDRO', GOIABEIRAS, 'JARDIM CAMBURI', 'JARDIM DA PENHA'}
@ATTRIBUTE preco {'ate 100', 'de 100 a 200', 'de 200 a 300', 'de 300 a 400', 'de 400 a 500', 'acima de 500'}
@ATTRIBUTE estabelecimento {INFORMATICA, BRINQUEDOS, 'CELULARES E TELEFONIA', ELETRODOMESTICOS, 'BELEZA E PERFUMARIA', GAMES, LIVROS, DECORACAO}
@ATTRIBUTE data_compra_dia NUMERIC
@ATTRIBUTE data_compra_mes NUMERIC
@ATTRIBUTE data_compra_semana {Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday}
@ATTRIBUTE idade {'18-25', '26-35', '35-45', '46-60', 'acima de 60'}

@DATA
"M","CASADO","JARDIM CAMBURI","ate 100","GAMES",17,4,"Sunday","26-35"
"M","CASADO","JUCUTUQUARA","de 200 a 300","DECORACAO",26,3,"Saturday","46-60"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","LIVROS",28,10,"Friday","26-35"
"M","SOLTEIRO","JUCUTUQUARA","ate 100","ELETRODOMESTICOS",18,3,"Friday","26-35"
"M","CASADO","SANTO ANTONIO","ate 100","BRINQUEDOS",10,12,"Saturday","35-45"
"M","CASADO","SAO PEDRO","ate 100","INFORMATICA",3,6,"Friday","46-60"
"M","SOLTEIRO","CENTRO","ate 100","ELETRODOMESTICOS",14,12,"Wednesday","46-60"
"M","SOLTEIRO","JARDIM CAMBURI","de 200 a 300","LIVROS",10,3,"Thursday","35-45"
"M","CASADO","PRAIA DO CANTO","de 100 a 200","LIVROS",29,10,"Saturday","46-60"
"M","DIVORCIADO","JARDIM CAMBURI","ate 100","BRINQUEDOS",20,7,"Wednesday","26-35"
