@RELATION compras

@ATTRIBUTE id NUMERIC
@ATTRIBUTE sexo {F,M}
@ATTRIBUTE estado_civil {DIVORCIADO, SOLTEIRO, VIUVO, CASADO}
@ATTRIBUTE cidade {VITORIA}
@ATTRIBUTE bairro {CENTRO, 'SANTO ANTONIO', JUCUTUQUARA, MARUIPE, 'PRAIA DO CANTO', 'SAO PEDRO', GOIABEIRAS, 'JARDIM CAMBURI', 'JARDIM DA PENHA'}
@ATTRIBUTE estado {'ESPIRITO SANTO'}
@ATTRIBUTE produto STRING
@ATTRIBUTE preco NUMERIC
@ATTRIBUTE estabelecimento {INFORMATICA, BRINQUEDOS, 'CELULARES E TELEFONIA', ELETRODOMESTICOS, 'BELEZA E PERFUMARIA', GAMES, LIVROS, DECORACAO}
@ATTRIBUTE data_compra DATE "yyyy-MM-dd"
@ATTRIBUTE data_compra_dia NUMERIC
@ATTRIBUTE data_compra_mes NUMERIC
@ATTRIBUTE data_compra_semana {DOMINGO, SEGUNDA, TERCA, QUARTA, QUINTA, SEXTA, SABADO}

@DATA
1,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Silk Shirt",83.57,"BELEZA E PERFUMARIA","2016-07-15",11,8,"SEXTA"
2,"F","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Rustic Paper Table",72.85,"LIVROS","2016-03-25",16,9,"DOMINGO"
3,"M","CASADO","VITORIA","MARUIPE","ESPIRITO SANTO","Practical Bronze Computer",21.87,"GAMES","2016-03-24",14,8,"SABADO"
4,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Heavy Duty Linen Keyboard",33.26,"INFORMATICA","2016-11-25",22,9,"SEXTA"
5,"F","VIUVO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Durable Plastic Knife",46.83,"CELULARES E TELEFONIA","2016-08-05",15,7,"SEXTA"
6,"F","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Enormous Iron Bench",27.75,"GAMES","2016-01-02",18,9,"DOMINGO"
7,"F","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Gorgeous Silk Gloves",70.67,"BELEZA E PERFUMARIA","2016-11-13",3,12,"SABADO"
8,"F","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Fantastic Aluminum Table",18.09,"GAMES","2016-03-31",8,12,"SABADO"
9,"F","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Mediocre Aluminum Table",74.42,"GAMES","2016-01-25",27,4,"SABADO"
10,"M","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Enormous Wool Bag",96.02,"GAMES","2016-01-08",7,11,"SEGUNDA"
11,"M","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Sleek Rubber Shirt",47.98,"DECORACAO","2016-07-30",31,1,"SABADO"
12,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Sleek Plastic Car",7.77,"BELEZA E PERFUMARIA","2016-11-21",11,7,"SEXTA"
13,"F","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Mediocre Plastic Bag",43.89,"BRINQUEDOS","2016-01-22",17,1,"DOMINGO"
14,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Awesome Iron Lamp",56.15,"GAMES","2016-11-15",23,11,"QUARTA"
15,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Small Copper Hat",17.34,"CELULARES E TELEFONIA","2016-08-01",26,9,"QUINTA"
16,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Heavy Duty Bronze Bag",64.24,"BELEZA E PERFUMARIA","2016-10-30",27,11,"SABADO"
17,"F","VIUVO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Small Linen Shirt",63.83,"BRINQUEDOS","2016-02-25",27,5,"SABADO"
18,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Enormous Concrete Watch",52.13,"BELEZA E PERFUMARIA","2016-06-04",14,5,"QUINTA"
19,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Rustic Granite Lamp",29.09,"BELEZA E PERFUMARIA","2016-07-25",9,1,"QUINTA"
20,"M","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Durable Plastic Shirt",69.15,"CELULARES E TELEFONIA","2016-09-12",9,4,"DOMINGO"
21,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Enormous Linen Bottle",5.55,"INFORMATICA","2016-10-21",16,1,"TERCA"
22,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Small Aluminum Shirt",0.98,"INFORMATICA","2016-03-23",12,7,"SABADO"
23,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Practical Copper Chair",15.78,"BRINQUEDOS","2016-06-28",26,10,"SABADO"
24,"M","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Lightweight Marble Table",21.52,"CELULARES E TELEFONIA","2016-11-26",22,2,"SABADO"
25,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Heavy Duty Linen Table",74.85,"BELEZA E PERFUMARIA","2016-09-28",26,5,"SABADO"
26,"M","DIVORCIADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Heavy Duty Steel Clock",25.52,"BELEZA E PERFUMARIA","2016-05-16",26,10,"QUARTA"
27,"F","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Lightweight Wool Bottle",73.27,"LIVROS","2016-12-29",9,1,"SABADO"
28,"F","VIUVO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Awesome Steel Bottle",9.19,"LIVROS","2016-06-22",25,11,"QUINTA"
29,"F","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Lightweight Paper Lamp",11.19,"INFORMATICA","2016-09-23",28,2,"QUINTA"
30,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Durable Steel Table",3.95,"ELETRODOMESTICOS","2016-07-05",27,12,"QUARTA"
31,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Heavy Duty Leather Lamp",98.71,"BRINQUEDOS","2016-06-01",23,7,"QUARTA"
32,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Mediocre Granite Bag",34.67,"BRINQUEDOS","2016-04-24",17,7,"DOMINGO"
33,"F","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Intelligent Wooden Wallet",35.25,"INFORMATICA","2016-08-12",10,1,"QUARTA"
34,"M","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Small Granite Keyboard",69.23,"INFORMATICA","2016-02-29",8,2,"DOMINGO"
35,"M","DIVORCIADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Fantastic Plastic Keyboard",86.37,"BRINQUEDOS","2016-01-05",31,7,"SEGUNDA"
36,"M","VIUVO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Aerodynamic Granite Lamp",65.22,"BELEZA E PERFUMARIA","2016-03-29",10,1,"SABADO"
37,"F","DIVORCIADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Sleek Silk Wallet",16.01,"GAMES","2016-10-12",6,6,"SABADO"
38,"F","DIVORCIADO","VITORIA","MARUIPE","ESPIRITO SANTO","Sleek Concrete Lamp",33.45,"BRINQUEDOS","2016-08-19",18,8,"SABADO"
39,"F","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Rustic Steel Clock",31.97,"GAMES","2016-01-22",2,12,"SABADO"
40,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Gorgeous Wool Shoes",62.66,"GAMES","2016-09-14",6,7,"DOMINGO"
41,"M","VIUVO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Fantastic Concrete Knife",16.07,"GAMES","2016-06-13",6,8,"SABADO"
42,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Aerodynamic Wooden Gloves",2.69,"GAMES","2016-08-22",17,9,"SABADO"
43,"F","DIVORCIADO","VITORIA","CENTRO","ESPIRITO SANTO","Fantastic Concrete Clock",29.33,"BELEZA E PERFUMARIA","2016-04-15",21,3,"SABADO"
44,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Enormous Steel Table",35.73,"ELETRODOMESTICOS","2016-02-26",30,12,"DOMINGO"
45,"M","CASADO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Rustic Cotton Car",34.89,"LIVROS","2016-08-29",13,3,"DOMINGO"
46,"F","VIUVO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Incredible Plastic Shoes",4.16,"BELEZA E PERFUMARIA","2016-08-04",28,2,"SABADO"
