@RELATION compras

@ATTRIBUTE id NUMERIC
@ATTRIBUTE sexo STRING
@ATTRIBUTE estado_civil STRING
@ATTRIBUTE cidade STRING
@ATTRIBUTE bairro STRING
@ATTRIBUTE estado STRING
@ATTRIBUTE produto STRING
@ATTRIBUTE preco NUMERIC
@ATTRIBUTE estabelecimento STRING
@ATTRIBUTE data_compra DATE "yyyy-MM-dd"

@DATA
1001,"M","DIVORCIADO","VITORIA","SANTO ANTONIO","Bahia","Awesome Concrete Wallet",34.52,"Garden & Electronics","2017-09-21"
1002,"M","VIÚVO","VITORIA","SANTO ANTONIO","Sergipe","Aerodynamic Wool Knife",13.55,"Industrial","2017-10-03"
1003,"M","SOLTEIRO","VITORIA","MARUÍPE","Alagoas","Heavy Duty Leather Computer",26.78,"Automotive","2017-09-15"
1004,"M","SOLTEIRO","VITORIA","MARUÍPE","Pernambuco","Durable Plastic Plate",52.21,"Kids, Music & Movies","2017-10-19"
1005,"M","CASADO","VITORIA","SANTO ANTONIO","Alagoas","Incredible Rubber Wallet",80.54,"Books & Industrial","2017-10-06"
1006,"F","CASADO","VITORIA","JARDIM CAMBURI","Distrito Federal","Enormous Granite Lamp",96.15,"Movies, Kids & Beauty","2017-09-17"
1007,"F","DIVORCIADO","VITORIA","SANTO ANTONIO","Sergipe","Awesome Silk Chair",29.27,"Sports","2017-09-28"
1008,"M","DIVORCIADO","VITORIA","SANTO ANTONIO","Mato Grosso do Sul","Aerodynamic Concrete Shirt",81.85,"Electronics & Garden","2017-10-22"
1009,"M","DIVORCIADO","VITORIA","JARDIM DA PENHA","Tocantins","Practical Iron Table",50.33,"Music & Sports","2017-11-01"
1010,"M","SOLTEIRO","VITORIA","MARUÍPE","Distrito Federal","Fantastic Marble Shirt",66.21,"Electronics","2017-10-25"
1011,"M","VIÚVO","VITORIA","MARUÍPE","Amapá","Fantastic Granite Car",93.82,"Computers","2017-10-29"
1012,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","Pará","Synergistic Steel Keyboard",96.08,"Health & Baby","2017-11-06"
1013,"M","VIÚVO","VITORIA","JUCUTUQUARA","Rio Grande do Sul","Fantastic Wool Chair",79.43,"Home","2017-11-02"
1014,"F","DIVORCIADO","VITORIA","SANTO ANTONIO","Pará","Enormous Wool Clock",22.44,"Clothing","2017-10-30"
1015,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","Piauí","Incredible Linen Shoes",86.48,"Grocery & Baby","2017-11-06"
1016,"F","DIVORCIADO","VITORIA","SAO PEDRO","Santa Catarina","Intelligent Marble Bag",11.73,"Shoes","2017-09-24"
1017,"F","VIÚVO","VITORIA","CENTRO","Piauí","Aerodynamic Concrete Computer",5.93,"Clothing & Music","2017-09-26"
1018,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","Minas Gerais","Heavy Duty Plastic Plate",21.67,"Clothing, Health & Tools","2017-10-24"
1019,"F","DIVORCIADO","VITORIA","JUCUTUQUARA","Roraima","Incredible Concrete Computer",23.84,"Industrial, Automotive & Games","2017-09-20"
1020,"F","DIVORCIADO","VITORIA","MARUÍPE","Tocantins","Synergistic Paper Clock",7.06,"Games, Beauty & Tools","2017-10-15"
1021,"F","DIVORCIADO","VITORIA","JUCUTUQUARA","Espírito Santo","Durable Leather Pants",83.01,"Jewelry & Kids","2017-10-23"
1022,"F","VIÚVO","VITORIA","SANTO ANTONIO","Minas Gerais","Durable Granite Wallet",51.03,"Health","2017-09-17"
1023,"M","VIÚVO","VITORIA","CENTRO","Paraíba","Heavy Duty Cotton Wallet",75.92,"Automotive & Electronics","2017-09-17"
1024,"M","SOLTEIRO","VITORIA","SAO PEDRO","Santa Catarina","Sleek Marble Table",88.11,"Movies","2017-10-06"
1025,"F","SOLTEIRO","VITORIA","MARUÍPE","Alagoas","Small Marble Computer",66.95,"Health","2017-10-15"
1026,"F","CASADO","VITORIA","CENTRO","Tocantins","Mediocre Wooden Watch",7.5,"Grocery & Games","2017-10-09"
1027,"F","VIÚVO","VITORIA","JARDIM DA PENHA","Amapá","Aerodynamic Copper Shirt",69.9,"Beauty, Tools & Home","2017-09-17"
1028,"M","CASADO","VITORIA","JUCUTUQUARA","Paraíba","Durable Wool Hat",65.69,"Games","2017-10-06"
1029,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","Amapá","Ergonomic Wool Table",50.36,"Automotive, Home & Clothing","2017-09-13"
1030,"M","CASADO","VITORIA","JUCUTUQUARA","Sergipe","Fantastic Granite Keyboard",64.85,"Garden & Baby","2017-09-17"
1031,"M","SOLTEIRO","VITORIA","MARUÍPE","Tocantins","Durable Rubber Computer",3.6,"Music","2017-10-19"
1032,"M","CASADO","VITORIA","PRAIA DO CANTO","Rio Grande do Sul","Durable Rubber Bench",54.6,"Jewelry","2017-11-05"
1033,"F","SOLTEIRO","VITORIA","CENTRO","Mato Grosso","Synergistic Linen Bottle",17.15,"Garden & Sports","2017-11-04"
1034,"F","CASADO","VITORIA","CENTRO","Espírito Santo","Durable Bronze Bag",64.85,"Outdoors & Grocery","2017-10-09"
1035,"M","DIVORCIADO","VITORIA","MARUÍPE","Paraná","Mediocre Steel Bench",63.26,"Grocery, Sports & Clothing","2017-09-22"
1036,"F","DIVORCIADO","VITORIA","PRAIA DO CANTO","Pará","Enormous Concrete Bench",64.88,"Baby","2017-10-31"
1037,"M","CASADO","VITORIA","JARDIM CAMBURI","Paraíba","Small Wool Knife",4.71,"Movies, Home & Grocery","2017-09-16"
1038,"F","SOLTEIRO","VITORIA","GOIABEIRAS","Santa Catarina","Awesome Bronze Hat",94.76,"Kids","2017-09-11"
1039,"M","DIVORCIADO","VITORIA","SANTO ANTONIO","Minas Gerais","Aerodynamic Silk Computer",18.3,"Toys & Baby","2017-09-14"
1040,"M","SOLTEIRO","VITORIA","JUCUTUQUARA","Rio de Janeiro","Fantastic Marble Hat",76.09,"Kids","2017-09-21"
1041,"M","VIÚVO","VITORIA","PRAIA DO CANTO","Ceará","Small Rubber Lamp",21.76,"Movies","2017-10-03"
1042,"F","VIÚVO","VITORIA","GOIABEIRAS","Santa Catarina","Lightweight Steel Shoes",52.29,"Health, Garden & Movies","2017-10-24"
1043,"F","DIVORCIADO","VITORIA","JARDIM DA PENHA","Espírito Santo","Heavy Duty Aluminum Bag",98.13,"Grocery & Music","2017-10-04"
1044,"M","CASADO","VITORIA","JARDIM DA PENHA","Pernambuco","Gorgeous Leather Car",9.02,"Garden, Grocery & Games","2017-10-07"
1045,"M","CASADO","VITORIA","SAO PEDRO","Rio de Janeiro","Fantastic Cotton Watch",90.24,"Health","2017-10-23"
1046,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","Santa Catarina","Aerodynamic Wool Shirt",91.86,"Health, Movies & Books","2017-10-17"
1047,"F","CASADO","VITORIA","CENTRO","Rio de Janeiro","Lightweight Granite Clock",44.53,"Movies","2017-09-12"
1048,"M","DIVORCIADO","VITORIA","GOIABEIRAS","Pará","Ergonomic Concrete Bottle",22.55,"Home, Baby & Kids","2017-10-08"
1049,"M","CASADO","VITORIA","MARUÍPE","Rondônia","Gorgeous Copper Shirt",63.11,"Music","2017-10-26"
1050,"M","CASADO","VITORIA","PRAIA DO CANTO","Ceará","Aerodynamic Bronze Hat",24.35,"Outdoors","2017-10-18"
1051,"F","DIVORCIADO","VITORIA","SANTO ANTONIO","Rio de Janeiro","Synergistic Leather Pants",35.9,"Health","2017-09-13"
1052,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","Amazonas","Practical Granite Plate",17.9,"Computers & Beauty","2017-09-22"
1053,"F","CASADO","VITORIA","JARDIM DA PENHA","Mato Grosso","Incredible Aluminum Gloves",90.68,"Beauty","2017-11-08"
1054,"M","VIÚVO","VITORIA","SANTO ANTONIO","Paraná","Mediocre Aluminum Table",99.53,"Books & Electronics","2017-09-22"
1055,"F","VIÚVO","VITORIA","JUCUTUQUARA","Pará","Awesome Copper Bench",29.39,"Music, Computers & Garden","2017-10-30"
1056,"F","DIVORCIADO","VITORIA","GOIABEIRAS","Sergipe","Sleek Leather Wallet",23.58,"Automotive, Jewelry & Music","2017-09-19"
1057,"M","VIÚVO","VITORIA","MARUÍPE","Tocantins","Incredible Rubber Wallet",20.96,"Home, Automotive & Shoes","2017-10-25"
1058,"F","DIVORCIADO","VITORIA","SAO PEDRO","Distrito Federal","Intelligent Silk Table",97.43,"Books, Music & Grocery","2017-10-03"
